date,service,region,environment,team,cost_usd,usage_type
2026-02-01,ec2,us-east-1,production,platform,12798.16,compute
2026-02-01,s3,us-east-1,production,platform,910.93,storage
2026-02-01,rds,us-east-1,production,data-eng,3266.19,database
2026-02-01,lambda,us-west-2,production,platform,500.27,compute
2026-02-01,ec2,eu-west-1,staging,platform,2136.91,compute
2026-02-02,ec2,us-east-1,production,platform,13181.13,compute
2026-02-02,s3,us-east-1,production,platform,930.58,storage
2026-02-02,rds,us-east-1,production,data-eng,3348.11,database
2026-02-02,lambda,us-west-2,production,platform,520.06,compute
2026-02-02,ec2,eu-west-1,staging,platform,2221.82,compute
2026-02-03,ec2,us-east-1,production,platform,13528.66,compute
2026-02-03,s3,us-east-1,production,platform,947.58,storage
2026-02-03,rds,us-east-1,production,data-eng,3296.54,database
2026-02-03,lambda,us-west-2,production,platform,538.56,compute
2026-02-03,ec2,eu-west-1,staging,platform,2301.17,compute
2026-02-04,ec2,us-east-1,production,platform,13824.26,compute
2026-02-04,s3,us-east-1,production,platform,927.58,storage
2026-02-04,rds,us-east-1,production,data-eng,3355.24,database
2026-02-04,lambda,us-west-2,production,platform,555.05,compute
2026-02-04,ec2,eu-west-1,staging,platform,2143.28,compute
2026-02-05,ec2,us-east-1,production,platform,13121.91,compute
2026-02-05,s3,us-east-1,production,platform,936.46,storage
2026-02-05,rds,us-east-1,production,data-eng,3398.71,database
2026-02-05,lambda,us-west-2,production,platform,569.05,compute
2026-02-05,ec2,eu-west-1,staging,platform,2203.44,compute
2026-02-06,ec2,us-east-1,production,platform,13293.69,compute
2026-02-06,s3,us-east-1,production,platform,941.01,storage
2026-02-06,rds,us-east-1,production,data-eng,3302.21,database
2026-02-06,lambda,us-west-2,production,platform,505.88,compute
2026-02-06,ec2,eu-west-1,staging,platform,2253.2,compute
2026-02-07,ec2,us-east-1,production,platform,13408.55,compute
2026-02-07,s3,us-east-1,production,platform,941.62,storage
2026-02-07,rds,us-east-1,production,data-eng,3316.5,database
2026-02-07,lambda,us-west-2,production,platform,515.32,compute
2026-02-07,ec2,eu-west-1,staging,platform,2293.04,compute
2026-02-08,ec2,us-east-1,production,platform,13478.21,compute
2026-02-08,s3,us-east-1,production,platform,906.79,storage
2026-02-08,rds,us-east-1,production,data-eng,3319.9,database
2026-02-08,lambda,us-west-2,production,platform,522.91,compute
2026-02-08,ec2,eu-west-1,staging,platform,2101.79,compute
2026-02-09,ec2,us-east-1,production,platform,13520.45,compute
2026-02-09,s3,us-east-1,production,platform,903.1,storage
2026-02-09,rds,us-east-1,production,data-eng,3196.92,database
2026-02-09,lambda,us-west-2,production,platform,529.32,compute
2026-02-09,ec2,eu-west-1,staging,platform,2131.28,compute
2026-02-10,ec2,us-east-1,production,platform,12669.7,compute
2026-02-10,s3,us-east-1,production,platform,899.2,storage
2026-02-10,rds,us-east-1,production,data-eng,3194.54,database
2026-02-10,lambda,us-west-2,production,platform,535.38,compute
2026-02-10,ec2,eu-west-1,staging,platform,2159.27,compute
2026-02-11,ec2,us-east-1,production,platform,12734.72,compute
2026-02-11,s3,us-east-1,production,platform,896.64,storage
2026-02-11,rds,us-east-1,production,data-eng,3196.59,database
2026-02-11,lambda,us-west-2,production,platform,542.02,compute
2026-02-11,ec2,eu-west-1,staging,platform,2189.5,compute
2026-02-12,ec2,us-east-1,production,platform,12836.32,compute
2026-02-12,s3,us-east-1,production,platform,865.92,storage
2026-02-12,rds,us-east-1,production,data-eng,3092.3,database
2026-02-12,lambda,us-west-2,production,platform,480.64,compute
2026-02-12,ec2,eu-west-1,staging,platform,2013.28,compute
2026-02-13,ec2,us-east-1,production,platform,12991.12,compute
2026-02-13,s3,us-east-1,production,platform,870.04,storage
2026-02-13,rds,us-east-1,production,data-eng,3117.87,database
2026-02-13,lambda,us-west-2,production,platform,491.31,compute
2026-02-13,ec2,eu-west-1,staging,platform,2059.37,compute
2026-02-14,ec2,us-east-1,production,platform,13209.65,compute
2026-02-14,s3,us-east-1,production,platform,878.47,storage
2026-02-14,rds,us-east-1,production,data-eng,3158.79,database
2026-02-14,lambda,us-west-2,production,platform,504.37,compute
2026-02-14,ec2,eu-west-1,staging,platform,2115.47,compute
2026-02-15,ec2,us-east-1,production,platform,12625.78,compute
2026-02-15,s3,us-east-1,production,platform,891.29,storage
2026-02-15,rds,us-east-1,production,data-eng,3099.71,database
2026-02-15,lambda,us-west-2,production,platform,520.0,compute
2026-02-15,ec2,eu-west-1,staging,platform,2182.35,compute
2026-02-16,ec2,us-east-1,production,platform,12964.17,compute
2026-02-16,s3,us-east-1,production,platform,876.88,storage
2026-02-16,rds,us-east-1,production,data-eng,3169.88,database
2026-02-16,lambda,us-west-2,production,platform,538.06,compute
2026-02-16,ec2,eu-west-1,staging,platform,2045.02,compute
2026-02-17,ec2,us-east-1,production,platform,13348.06,compute
2026-02-17,s3,us-east-1,production,platform,896.32,storage
2026-02-17,rds,us-east-1,production,data-eng,3250.91,database
2026-02-17,lambda,us-west-2,production,platform,558.1,compute
2026-02-17,ec2,eu-west-1,staging,platform,2127.79,compute
2026-02-18,ec2,us-east-1,production,platform,13759.25,compute
2026-02-18,s3,us-east-1,production,platform,917.42,storage
2026-02-18,rds,us-east-1,production,data-eng,3218.16,database
2026-02-18,lambda,us-west-2,production,platform,507.34,compute
2026-02-18,ec2,eu-west-1,staging,platform,2215.49,compute
2026-02-19,ec2,us-east-1,production,platform,14175.48,compute
2026-02-19,s3,us-east-1,production,platform,938.68,storage
2026-02-19,rds,us-east-1,production,data-eng,3304.74,database
2026-02-19,lambda,us-west-2,production,platform,527.97,compute
2026-02-19,ec2,eu-west-1,staging,platform,2304.59,compute
2026-02-20,ec2,us-east-1,production,platform,13649.52,compute
2026-02-20,s3,us-east-1,production,platform,925.7,storage
2026-02-20,rds,us-east-1,production,data-eng,3386.72,database
2026-02-20,lambda,us-west-2,production,platform,548.03,compute
2026-02-20,ec2,eu-west-1,staging,platform,2165.45,compute
2026-02-21,ec2,us-east-1,production,platform,13998.74,compute
2026-02-21,s3,us-east-1,production,platform,942.5,storage
2026-02-21,rds,us-east-1,production,data-eng,3334.86,database
2026-02-21,lambda,us-west-2,production,platform,566.68,compute
2026-02-21,ec2,eu-west-1,staging,platform,2243.94,compute
2026-02-22,ec2,us-east-1,production,platform,14293.49,compute
2026-02-22,s3,us-east-1,production,platform,955.53,storage
2026-02-22,rds,us-east-1,production,data-eng,3393.02,database
2026-02-22,lambda,us-west-2,production,platform,583.17,compute
2026-02-22,ec2,eu-west-1,staging,platform,2313.99,compute
2026-02-23,ec2,us-east-1,production,platform,14523.3,compute
2026-02-23,s3,us-east-1,production,platform,964.2,storage
2026-02-23,rds,us-east-1,production,data-eng,3435.71,database
2026-02-23,lambda,us-west-2,production,platform,597.04,compute
2026-02-23,ec2,eu-west-1,staging,platform,2373.61,compute
2026-02-24,ec2,us-east-1,production,platform,14685.41,compute
2026-02-24,s3,us-east-1,production,platform,935.32,storage
2026-02-24,rds,us-east-1,production,data-eng,3338.35,database
2026-02-24,lambda,us-west-2,production,platform,533.64,compute
2026-02-24,ec2,eu-west-1,staging,platform,2194.54,compute
2026-02-25,ec2,us-east-1,production,platform,13862.98,compute
2026-02-25,s3,us-east-1,production,platform,935.81,storage
2026-02-25,rds,us-east-1,production,data-eng,3351.71,database
2026-02-25,lambda,us-west-2,production,platform,542.73,compute
2026-02-25,ec2,eu-west-1,staging,platform,2234.48,compute
2026-02-26,ec2,us-east-1,production,platform,13925.5,compute
2026-02-26,s3,us-east-1,production,platform,933.36,storage
2026-02-26,rds,us-east-1,production,data-eng,3354.27,database
2026-02-26,lambda,us-west-2,production,platform,549.93,compute
2026-02-26,ec2,eu-west-1,staging,platform,2266.57,compute
2026-02-27,ec2,us-east-1,production,platform,13960.9,compute
2026-02-27,s3,us-east-1,production,platform,929.26,storage
2026-02-27,rds,us-east-1,production,data-eng,3230.74,database
2026-02-27,lambda,us-west-2,production,platform,555.94,compute
2026-02-27,ec2,eu-west-1,staging,platform,2293.68,compute
2026-02-28,ec2,us-east-1,production,platform,13991.84,compute
2026-02-28,s3,us-east-1,production,platform,893.51,storage
2026-02-28,rds,us-east-1,production,data-eng,3227.98,database
2026-02-28,lambda,us-west-2,production,platform,561.64,compute
2026-02-28,ec2,eu-west-1,staging,platform,2102.72,compute
