date,city,country,country_iso,latitude,longitude,website_sessions,lead_submissions,orders_placed,revenue_usd,market
2026-02-01,Evesham,United Kingdom,GB,52.108,-1.932,1208,39,13,3295.5,uk_home
2026-02-01,Malvern,United Kingdom,GB,52.089,-2.346,952,31,10,2607.5,uk_home
2026-02-01,Honeybourne,United Kingdom,GB,52.124,-1.786,858,28,9,2249.0,uk_home
2026-02-01,Worcester,United Kingdom,GB,52.223,-2.236,1091,35,12,2789.5,uk_home
2026-02-01,Birmingham,United Kingdom,GB,52.494,-1.902,1205,39,13,3048.5,uk_home
2026-02-01,London,United Kingdom,GB,51.4794,-0.1158,1467,47,16,4395.5,uk_home
2026-02-01,Dublin,Ireland,IE,53.3698,-6.2603,964,31,10,2677.5,eu
2026-02-01,Frankfurt,Germany,DE,50.1269,8.6501,780,25,8,1840.5,eu
2026-02-01,Amsterdam,Netherlands,NL,52.3596,4.9121,695,22,7,1843.0,eu
2026-02-01,New York,United States,US,40.7328,-74.03,1363,44,15,3400.0,na
2026-02-01,Seattle,United States,US,47.5862,-122.3201,793,25,8,2056.5,na
2026-02-01,Ashburn,United States,US,39.0758,-77.4554,657,21,7,1620.5,na
2026-02-01,Singapore,Singapore,SG,1.3281,103.8078,590,19,6,1599.5,apac
2026-02-02,Evesham,United Kingdom,GB,52.072,-1.952,1203,40,13,3334.0,uk_home
2026-02-02,Malvern,United Kingdom,GB,52.117,-2.342,988,33,11,2876.5,uk_home
2026-02-02,Honeybourne,United Kingdom,GB,52.1,-1.738,855,28,9,2267.0,uk_home
2026-02-02,Worcester,United Kingdom,GB,52.167,-2.188,1087,36,12,2826.0,uk_home
2026-02-02,Birmingham,United Kingdom,GB,52.454,-1.89,1253,42,14,3311.0,uk_home
2026-02-02,London,United Kingdom,GB,51.5154,-0.1238,1513,51,17,4717.5,uk_home
2026-02-02,Dublin,Ireland,IE,53.3298,-6.2963,982,33,11,2953.5,eu
2026-02-02,Frankfurt,Germany,DE,50.1429,8.6981,777,26,8,1869.0,eu
2026-02-02,Amsterdam,Netherlands,NL,52.3356,4.9161,708,23,8,2095.5,eu
2026-02-02,New York,United States,US,40.7048,-74.022,1374,46,15,3455.0,na
2026-02-02,Seattle,United States,US,47.6182,-122.3641,816,27,9,2317.5,na
2026-02-02,Ashburn,United States,US,39.0198,-77.5154,668,22,7,1647.0,na
2026-02-02,Singapore,Singapore,SG,1.3601,103.8478,611,20,6,1624.0,apac
2026-02-03,Evesham,United Kingdom,GB,52.092,-1.972,1176,40,13,3360.0,uk_home
2026-02-03,Malvern,United Kingdom,GB,52.133,-2.342,1010,34,11,2911.0,uk_home
2026-02-03,Honeybourne,United Kingdom,GB,52.084,-1.77,837,28,9,2285.0,uk_home
2026-02-03,Worcester,United Kingdom,GB,52.203,-2.22,1063,36,12,2850.0,uk_home
2026-02-03,Birmingham,United Kingdom,GB,52.462,-1.91,1281,44,14,3364.0,uk_home
2026-02-03,London,United Kingdom,GB,51.5154,-0.1478,1531,52,17,4764.0,uk_home
2026-02-03,Dublin,Ireland,IE,53.3538,-6.2323,982,33,11,2975.5,eu
2026-02-03,Frankfurt,Germany,DE,50.1149,8.6621,761,26,8,1885.0,eu
2026-02-03,Amsterdam,Netherlands,NL,52.3996,4.8801,707,24,8,2124.0,eu
2026-02-03,New York,United States,US,40.7208,-73.974,1358,46,15,3485.0,na
2026-02-03,Seattle,United States,US,47.6302,-122.3241,825,28,9,2348.0,na
2026-02-03,Ashburn,United States,US,39.0238,-77.4914,668,23,7,1673.5,na
2026-02-03,Singapore,Singapore,SG,1.3401,103.7958,623,21,7,1879.5,apac
2026-02-04,Evesham,United Kingdom,GB,52.096,-1.984,1131,39,13,3373.5,uk_home
2026-02-04,Malvern,United Kingdom,GB,52.109,-2.334,1013,35,11,2945.5,uk_home
2026-02-04,Honeybourne,United Kingdom,GB,52.084,-1.798,806,28,9,2303.0,uk_home
2026-02-04,Worcester,United Kingdom,GB,52.207,-2.248,1023,35,11,2659.5,uk_home
2026-02-04,Birmingham,United Kingdom,GB,52.486,-1.894,1285,44,14,3392.0,uk_home
2026-02-04,London,United Kingdom,GB,51.4794,-0.1638,1518,53,17,4810.5,uk_home
2026-02-04,Dublin,Ireland,IE,53.3378,-6.2763,963,33,11,2997.5,eu
2026-02-04,Frankfurt,Germany,DE,50.0989,8.6541,734,25,8,1888.5,eu
2026-02-04,Amsterdam,Netherlands,NL,52.3676,4.8961,695,24,8,2140.0,eu
2026-02-04,New York,United States,US,40.6888,-74.006,1316,45,15,3502.5,na
2026-02-04,Seattle,United States,US,47.6302,-122.3281,819,28,9,2366.0,na
2026-02-04,Ashburn,United States,US,39.0118,-77.4554,656,22,7,1675.0,na
2026-02-04,Singapore,Singapore,SG,1.3681,103.8318,625,21,7,1893.5,apac
2026-02-05,Evesham,United Kingdom,GB,52.076,-1.948,1075,37,12,3150.5,uk_home
2026-02-05,Malvern,United Kingdom,GB,52.121,-2.302,998,34,11,2955.0,uk_home
2026-02-05,Honeybourne,United Kingdom,GB,52.08,-1.746,768,26,8,2077.0,uk_home
2026-02-05,Worcester,United Kingdom,GB,52.207,-2.252,973,34,11,2669.0,uk_home
2026-02-05,Birmingham,United Kingdom,GB,52.498,-1.894,1265,44,14,3420.0,uk_home
2026-02-05,London,United Kingdom,GB,51.5234,-0.1198,1477,51,16,4573.5,uk_home
2026-02-05,Dublin,Ireland,IE,53.3778,-6.2683,928,32,10,2770.0,eu
2026-02-05,Frankfurt,Germany,DE,50.0949,8.6461,700,24,8,1892.0,eu
2026-02-05,Amsterdam,Netherlands,NL,52.3836,4.9321,671,23,7,1911.5,eu
2026-02-05,New York,United States,US,40.7088,-74.034,1257,43,14,3309.5,na
2026-02-05,Seattle,United States,US,47.5902,-122.3521,798,27,9,2371.5,na
2026-02-05,Ashburn,United States,US,39.0598,-77.4674,634,22,7,1689.0,na
2026-02-05,Singapore,Singapore,SG,1.3441,103.8398,616,21,7,1907.5,apac
2026-02-06,Evesham,United Kingdom,GB,52.084,-1.912,1015,35,11,2923.5,uk_home
2026-02-06,Malvern,United Kingdom,GB,52.109,-2.362,967,33,10,2732.5,uk_home
2026-02-06,Honeybourne,United Kingdom,GB,52.104,-1.75,727,25,8,2080.5,uk_home
2026-02-06,Worcester,United Kingdom,GB,52.167,-2.184,919,31,10,2447.5,uk_home
2026-02-06,Birmingham,United Kingdom,GB,52.47,-1.922,1224,42,13,3216.0,uk_home
2026-02-06,London,United Kingdom,GB,51.4794,-0.1318,1413,48,15,4320.0,uk_home
2026-02-06,Dublin,Ireland,IE,53.3218,-6.2323,883,30,9,2526.0,eu
2026-02-06,Frankfurt,Germany,DE,50.0909,8.6701,663,22,7,1682.0,eu
2026-02-06,Amsterdam,Netherlands,NL,52.3636,4.9081,640,22,7,1913.0,eu
2026-02-06,New York,United States,US,40.6928,-73.994,1186,40,13,3100.0,na
2026-02-06,Seattle,United States,US,47.5902,-122.3601,766,26,8,2149.0,na
2026-02-06,Ashburn,United States,US,39.0598,-77.4634,605,20,6,1474.0,na
2026-02-06,Singapore,Singapore,SG,1.3761,103.8118,598,20,6,1672.0,apac
2026-02-07,Evesham,United Kingdom,GB,52.124,-1.924,958,32,10,2680.0,uk_home
2026-02-07,Malvern,United Kingdom,GB,52.113,-2.314,924,31,9,2493.5,uk_home
2026-02-07,Honeybourne,United Kingdom,GB,52.088,-1.79,688,23,7,1848.5,uk_home
2026-02-07,Worcester,United Kingdom,GB,52.175,-2.208,868,29,9,2234.5,uk_home
2026-02-07,Birmingham,United Kingdom,GB,52.466,-1.87,1168,39,12,2995.5,uk_home
2026-02-07,London,United Kingdom,GB,51.5194,-0.1518,1336,45,14,4062.5,uk_home
2026-02-07,Dublin,Ireland,IE,53.3218,-6.2803,833,28,8,2278.0,eu
2026-02-07,Frankfurt,Germany,DE,50.0869,8.6861,629,21,6,1480.5,eu
2026-02-07,Amsterdam,Netherlands,NL,52.3796,4.8881,606,20,6,1666.0,eu
2026-02-07,New York,United States,US,40.7128,-73.982,1115,37,11,2684.5,na
2026-02-07,Seattle,United States,US,47.5782,-122.3401,728,24,7,1910.0,na
2026-02-07,Ashburn,United States,US,39.0278,-77.4794,574,19,6,1473.5,na
2026-02-07,Singapore,Singapore,SG,1.3361,103.8478,574,19,6,1671.5,apac
2026-02-08,Evesham,United Kingdom,GB,52.068,-1.968,911,29,9,2432.5,uk_home
2026-02-08,Malvern,United Kingdom,GB,52.085,-2.322,875,28,8,2238.0,uk_home
2026-02-08,Honeybourne,United Kingdom,GB,52.12,-1.758,657,21,6,1612.5,uk_home
2026-02-08,Worcester,United Kingdom,GB,52.219,-2.204,827,27,8,2017.5,uk_home
2026-02-08,Birmingham,United Kingdom,GB,52.486,-1.926,1105,36,11,2771.0,uk_home
2026-02-08,London,United Kingdom,GB,51.4874,-0.1558,1256,41,12,3536.5,uk_home
2026-02-08,Dublin,Ireland,IE,53.3298,-6.2763,785,25,7,2013.5,eu
2026-02-08,Frankfurt,Germany,DE,50.0789,8.7181,600,19,6,1467.5,eu
2026-02-08,Amsterdam,Netherlands,NL,52.3836,4.8761,573,18,5,1415.0,eu
2026-02-08,New York,United States,US,40.7328,-73.978,1051,34,10,2465.0,na
2026-02-08,Seattle,United States,US,47.5822,-122.3001,688,22,7,1899.0,na
2026-02-08,Ashburn,United States,US,39.0598,-77.4714,543,17,5,1252.5,na
2026-02-08,Singapore,Singapore,SG,1.3201,103.8478,547,17,5,1417.5,apac
2026-02-09,Evesham,United Kingdom,GB,52.092,-1.948,880,27,8,2193.5,uk_home
2026-02-09,Malvern,United Kingdom,GB,52.085,-2.342,827,26,8,2229.0,uk_home
2026-02-09,Honeybourne,United Kingdom,GB,52.076,-1.746,636,20,6,1612.0,uk_home
2026-02-09,Worcester,United Kingdom,GB,52.219,-2.212,799,25,7,1796.5,uk_home
2026-02-09,Birmingham,United Kingdom,GB,52.51,-1.91,1043,32,10,2530.0,uk_home
2026-02-09,London,United Kingdom,GB,51.5154,-0.0998,1182,37,11,3256.5,uk_home
2026-02-09,Dublin,Ireland,IE,53.3778,-6.2243,744,23,7,2002.5,eu
2026-02-09,Frankfurt,Germany,DE,50.0949,8.6861,581,18,5,1260.0,eu
2026-02-09,Amsterdam,Netherlands,NL,52.3756,4.8761,546,17,5,1412.5,eu
2026-02-09,New York,United States,US,40.7008,-74.022,1002,31,9,2241.5,na
