date,leads,trial_signups,conversion_rate_pct,mql_count
2026-02-01,418,198,3.66,90
2026-02-02,425,207,3.85,92
2026-02-03,432,214,4.04,94
2026-02-04,436,218,4.2,96
2026-02-05,439,219,4.33,98
2026-02-06,440,217,4.39,100
2026-02-07,440,186,4.39,102
2026-02-08,439,181,4.32,104
2026-02-09,437,177,4.2,88
2026-02-10,435,173,4.03,90
2026-02-11,434,172,3.85,92
2026-02-12,433,173,3.66,94
2026-02-13,435,177,3.49,96
2026-02-14,438,156,3.37,98
2026-02-15,443,166,3.31,100
2026-02-16,449,177,3.31,102
2026-02-17,457,190,3.38,104
2026-02-18,464,202,3.5,88
2026-02-19,472,116,2.43,90
2026-02-20,479,223,3.86,92
2026-02-21,486,202,4.05,94
2026-02-22,490,206,4.21,96
2026-02-23,493,207,4.33,98
2026-02-24,494,205,4.39,100
2026-02-25,494,201,4.39,102
2026-02-26,492,197,4.32,104
2026-02-27,411,192,4.19,88
2026-02-28,409,161,4.03,90
